,average_temperature,precipitation,windspeed,city,date
2022-09-01,21.9,23.3,14.8,Istanbul,2022-09-01
2022-10-01,17.2,24.8,17.5,Istanbul,2022-10-01
2022-11-01,14.7,45.5,16.4,Istanbul,2022-11-01
2021-02-01,-3.4,93.4,13.5,London,2021-02-01
2021-04-01,11.1,98.4,12.8,London,2021-04-01
2021-05-01,15.7,116.4,10.4,London,2021-05-01
2021-06-01,22.6,162.5,12.6,London,2021-06-01
2021-07-01,22.8,187.9,9.4,London,2021-07-01
2021-08-01,23.1,109.4,8.3,London,2021-08-01
2021-09-01,19.3,85.5,9.8,London,2021-09-01
2021-10-01,15.6,146.1,9.2,London,2021-10-01
2021-11-01,4.5,62.5,11.1,London,2021-11-01
2021-12-01,4.8,140.9,11.6,London,2021-12-01
2022-01-01,-4.0,70.3,13.1,London,2022-01-01
2022-02-01,-0.4,160.3,13.6,London,2022-02-01
2022-04-01,9.7,84.2,13.9,London,2022-04-01
2022-05-01,17.8,143.8,14.1,London,2022-05-01
2022-06-01,21.9,41.7,11.4,London,2022-06-01
2022-07-01,22.8,170.0,9.2,London,2022-07-01
2022-08-01,21.3,78.2,8.3,London,2022-08-01
2022-09-01,17.7,51.2,9.0,London,2022-09-01
2022-10-01,10.4,23.5,13.0,London,2022-10-01
2021-02-01,-4.8,81.2,10.1,Paris,2021-02-01
2021-04-01,7.5,115.9,12.9,Paris,2021-04-01
2021-05-01,13.2,76.6,10.2,Paris,2021-05-01
2021-06-01,20.3,32.9,9.3,Paris,2021-06-01
2021-07-01,18.9,296.0,8.2,Paris,2021-07-01
2021-08-01,21.1,74.4,6.7,Paris,2021-08-01
2021-09-01,16.8,156.7,8.9,Paris,2021-09-01
2021-10-01,11.1,184.0,8.4,Paris,2021-10-01
2021-11-01,2.9,88.3,8.0,Paris,2021-11-01
2021-12-01,-1.7,87.3,8.4,Paris,2021-12-01
2022-01-01,-8.7,82.5,11.0,Paris,2022-01-01
2022-02-01,-3.9,91.6,13.1,Paris,2022-02-01
2022-04-01,6.7,110.0,13.2,Paris,2022-04-01
2022-05-01,13.7,37.8,10.2,Paris,2022-05-01
2022-06-01,17.0,93.5,9.3,Paris,2022-06-01
2022-07-01,22.1,141.0,8.6,Paris,2022-07-01
2022-08-01,21.2,95.8,7.5,Paris,2022-08-01
2022-09-01,15.0,139.2,8.6,Paris,2022-09-01
2022-10-01,9.9,164.9,6.8,Paris,2022-10-01
2022-11-01,5.1,95.5,11.0,Paris,2022-11-01
2021-02-01,24.7,366.2,13.6,Barcelona,2021-02-01
2021-03-01,25.4,245.7,11.6,Barcelona,2021-03-01
2021-04-01,25.7,230.0,11.5,Barcelona,2021-04-01
2021-05-01,26.7,134.7,10.0,Barcelona,2021-05-01
2021-06-01,27.0,186.4,7.1,Barcelona,2021-06-01
2021-07-01,26.7,247.0,13.9,Barcelona,2021-07-01
2021-08-01,26.7,194.7,8.6,Barcelona,2021-08-01
2021-09-01,26.4,301.7,7.7,Barcelona,2021-09-01
2021-10-01,26.0,320.1,10.2,Barcelona,2021-10-01
2021-11-01,25.8,213.4,11.1,Barcelona,2021-11-01
2021-12-01,24.9,390.8,16.6,Barcelona,2021-12-01
2022-01-01,24.5,195.4,13.8,Barcelona,2022-01-01
2022-02-01,24.7,208.8,15.1,Barcelona,2022-02-01
2022-03-01,25.8,195.6,12.3,Barcelona,2022-03-01
2022-04-01,25.8,305.7,12.5,Barcelona,2022-04-01
2022-05-01,26.9,109.3,8.7,Barcelona,2022-05-01
2022-06-01,26.9,143.7,7.0,Barcelona,2022-06-01
2022-07-01,26.6,216.6,7.4,Barcelona,2022-07-01
2022-08-01,26.3,274.9,6.9,Barcelona,2022-08-01
2022-09-01,26.5,133.3,11.4,Barcelona,2022-09-01
2022-10-01,26.2,268.5,10.4,Barcelona,2022-10-01
2022-11-01,25.9,197.1,12.0,Barcelona,2022-11-01
2021-01-01,-5.5,25.9,12.4,Berlin,2021-01-01
2021-02-01,-10.8,17.5,11.2,Berlin,2021-02-01
2021-04-01,8.4,51.0,11.6,Berlin,2021-04-01
2021-05-01,13.8,71.3,11.4,Berlin,2021-05-01
2021-06-01,21.7,48.1,9.6,Berlin,2021-06-01
2021-07-01,21.3,52.2,7.8,Berlin,2021-07-01
2021-08-01,21.0,55.7,6.7,Berlin,2021-08-01
2021-09-01,16.0,16.8,7.8,Berlin,2021-09-01
2021-10-01,12.0,42.3,8.4,Berlin,2021-10-01
2021-11-01,1.1,19.1,11.5,Berlin,2021-11-01
2021-12-01,-2.9,18.2,12.1,Berlin,2021-12-01
2022-01-01,-11.1,3.1,13.0,Berlin,2022-01-01
2022-02-01,-7.6,2.1,14.4,Berlin,2022-02-01
2022-04-01,5.0,66.1,15.6,Berlin,2022-04-01
2022-05-01,15.6,34.5,11.9,Berlin,2022-05-01
2022-06-01,19.4,16.0,10.2,Berlin,2022-06-01
2022-07-01,21.4,16.6,9.2,Berlin,2022-07-01
2022-08-01,20.3,93.6,7.4,Berlin,2022-08-01
2022-09-01,15.8,72.7,8.8,Berlin,2022-09-01
2022-10-01,8.4,25.2,10.2,Berlin,2022-10-01
2022-11-01,2.1,89.6,12.6,Berlin,2022-11-01
2021-08-01,22.6,204.0,9.1,Rome,2021-08-01
2021-09-01,17.3,111.9,10.4,Rome,2021-09-01
2021-10-01,13.3,233.2,11.2,Rome,2021-10-01
2021-11-01,3.2,110.0,11.2,Rome,2021-11-01
2021-12-01,1.1,118.5,13.6,Rome,2021-12-01
2022-01-01,-8.2,62.1,12.5,Rome,2022-01-01
2022-02-01,-3.7,113.6,14.1,Rome,2022-02-01
2022-04-01,7.3,157.1,15.3,Rome,2022-04-01
2022-06-01,18.4,166.0,11.7,Rome,2022-06-01
2022-07-01,21.6,101.2,9.0,Rome,2022-07-01
2022-08-01,21.7,92.2,8.0,Rome,2022-08-01
2022-09-01,15.8,190.2,8.8,Rome,2022-09-01
2022-10-01,9.7,45.5,9.0,Rome,2022-10-01
2022-11-01,5.1,105.0,12.3,Rome,2022-11-01
2019-12-01,2.7,33.0,12.4,Kyiv,2019-12-01
2020-01-01,0.8,21.0,13.6,Kyiv,2020-01-01
2020-02-01,2.5,46.0,14.2,Kyiv,2020-02-01
2020-04-01,9.9,39.0,13.8,Kyiv,2020-04-01
2020-05-01,12.4,122.0,11.8,Kyiv,2020-05-01
2020-06-01,21.7,49.0,10.6,Kyiv,2020-06-01
2020-07-01,21.9,47.0,10.3,Kyiv,2020-07-01
2020-08-01,21.4,31.0,8.9,Kyiv,2020-08-01
2020-09-01,18.4,31.0,10.3,Kyiv,2020-09-01
2020-10-01,12.5,101.0,9.7,Kyiv,2020-10-01
2020-11-01,3.8,30.0,10.3,Kyiv,2020-11-01
2020-12-01,-0.5,48.0,11.0,Kyiv,2020-12-01
2021-01-01,-2.5,63.0,11.8,Kyiv,2021-01-01
2021-02-01,-4.5,62.0,11.8,Kyiv,2021-02-01
2021-04-01,8.0,45.0,9.9,Kyiv,2021-04-01
2021-05-01,14.4,74.0,10.7,Kyiv,2021-05-01
2021-06-01,21.3,24.0,11.6,Kyiv,2021-06-01
2021-07-01,24.6,63.0,8.2,Kyiv,2021-07-01
2021-08-01,21.1,65.0,9.6,Kyiv,2021-08-01
2021-09-01,13.6,23.0,10.0,Kyiv,2021-09-01
2021-10-01,8.4,2.0,10.3,Kyiv,2021-10-01
2021-11-01,4.8,29.0,11.4,Kyiv,2021-11-01
2021-12-01,-1.5,68.7,12.3,Kyiv,2021-12-01
2022-01-01,-1.3,59.2,16.9,Kyiv,2022-01-01
2022-02-01,1.6,28.1,12.9,Kyiv,2022-02-01
2022-04-01,8.0,96.7,10.4,Kyiv,2022-04-01
2022-05-01,14.6,47.7,9.5,Kyiv,2022-05-01
2022-06-01,21.8,57.0,8.0,Kyiv,2022-06-01
2022-07-01,20.8,48.9,7.8,Kyiv,2022-07-01
2022-08-01,22.3,81.0,7.4,Kyiv,2022-08-01
2022-09-01,12.6,70.6,5.8,Kyiv,2022-09-01
2022-10-01,10.5,42.8,8.2,Kyiv,2022-10-01
2022-11-01,3.2,87.3,8.2,Kyiv,2022-11-01
2019-12-01,1.7,66.0,15.3,Minsk,2019-12-01
2020-01-01,1.2,45.0,14.5,Minsk,2020-01-01
2020-02-01,1.5,49.0,16.9,Minsk,2020-02-01
2020-03-01,3.1,22.0,14.3,Minsk,2020-03-01
2020-04-01,6.1,11.0,17.2,Minsk,2020-04-01
2020-05-01,10.4,52.0,15.7,Minsk,2020-05-01
2020-06-01,19.2,134.0,13.3,Minsk,2020-06-01
2020-07-01,17.4,68.0,12.0,Minsk,2020-07-01
2020-08-01,17.8,62.0,10.6,Minsk,2020-08-01
2020-09-01,13.9,31.0,13.3,Minsk,2020-09-01
2020-10-01,10.5,42.0,13.2,Minsk,2020-10-01
2020-11-01,3.6,51.0,14.7,Minsk,2020-11-01
2020-12-01,-1.2,49.0,16.9,Minsk,2020-12-01
2021-01-01,-4.3,109.0,13.6,Minsk,2021-01-01
2021-02-01,-6.8,39.0,13.5,Minsk,2021-02-01
2021-03-01,0.6,34.0,15.1,Minsk,2021-03-01
2021-04-01,6.1,40.0,14.6,Minsk,2021-04-01
2021-05-01,11.5,113.0,15.9,Minsk,2021-05-01
2021-06-01,19.2,84.0,11.9,Minsk,2021-06-01
2021-07-01,21.9,42.0,10.8,Minsk,2021-07-01
2021-08-01,16.9,74.0,11.1,Minsk,2021-08-01
2021-09-01,10.1,119.0,13.6,Minsk,2021-09-01
2021-10-01,6.9,10.0,14.1,Minsk,2021-10-01
2021-11-01,3.1,60.0,16.2,Minsk,2021-11-01
2022-06-01,18.5,46.4,11.2,Minsk,2022-06-01
2022-07-01,18.0,60.6,11.8,Minsk,2022-07-01
2022-08-01,20.9,3.2,12.1,Minsk,2022-08-01
2022-09-01,10.1,41.7,11.7,Minsk,2022-09-01
2022-10-01,8.3,56.0,13.4,Minsk,2022-10-01
2022-11-01,1.6,52.5,11.4,Minsk,2022-11-01
2019-12-01,-0.8,46.0,6.8,Almaty,2019-12-01
2020-01-01,-2.9,15.0,7.2,Almaty,2020-01-01
2020-02-01,1.7,68.0,9.1,Almaty,2020-02-01
2020-03-01,6.4,52.0,9.8,Almaty,2020-03-01
2020-04-01,14.0,139.0,9.1,Almaty,2020-04-01
2020-05-01,18.8,74.0,9.4,Almaty,2020-05-01
2020-06-01,22.0,30.0,10.0,Almaty,2020-06-01
2020-07-01,24.4,32.0,8.5,Almaty,2020-07-01
2020-08-01,24.0,40.0,9.1,Almaty,2020-08-01
2020-09-01,16.7,20.0,8.5,Almaty,2020-09-01
2020-10-01,9.7,9.0,6.8,Almaty,2020-10-01
2020-11-01,0.1,25.0,7.7,Almaty,2020-11-01
2020-12-01,-6.3,11.0,6.5,Almaty,2020-12-01
2021-01-01,-5.7,13.0,6.7,Almaty,2021-01-01
2021-02-01,1.7,51.0,6.7,Almaty,2021-02-01
2021-03-01,4.9,112.0,10.1,Almaty,2021-03-01
2021-04-01,12.5,53.0,9.3,Almaty,2021-04-01
2021-05-01,19.5,68.0,8.6,Almaty,2021-05-01
2021-06-01,23.0,19.0,10.2,Almaty,2021-06-01
2021-07-01,27.2,23.0,9.8,Almaty,2021-07-01
2021-08-01,24.6,23.0,9.8,Almaty,2021-08-01
2021-09-01,20.5,2.0,8.2,Almaty,2021-09-01
2021-10-01,7.9,34.0,6.8,Almaty,2021-10-01
2021-11-01,1.1,39.0,7.6,Almaty,2021-11-01
2022-06-01,24.5,73.2,9.4,Almaty,2022-06-01
2022-07-01,26.5,283.9,9.9,Almaty,2022-07-01
2022-08-01,22.6,23.4,9.7,Almaty,2022-08-01
2022-09-01,20.9,11.8,8.4,Almaty,2022-09-01
2022-10-01,11.3,81.4,5.8,Almaty,2022-10-01
2022-11-01,3.0,132.0,6.7,Almaty,2022-11-01
2019-12-01,-0.8,105.0,14.3,Vienna,2019-12-01
2020-01-01,-0.5,72.0,14.3,Vienna,2020-01-01
2020-02-01,-1.9,63.0,14.2,Vienna,2020-02-01
2020-03-01,4.6,87.0,14.8,Vienna,2020-03-01
2020-04-01,6.9,91.0,16.4,Vienna,2020-04-01
2020-05-01,13.8,79.0,13.4,Vienna,2020-05-01
2020-06-01,20.7,37.0,10.5,Vienna,2020-06-01
2020-07-01,25.1,133.0,11.1,Vienna,2020-07-01
2020-08-01,22.8,117.0,10.6,Vienna,2020-08-01
2020-09-01,17.6,39.0,11.0,Vienna,2020-09-01
2020-10-01,11.0,89.0,11.3,Vienna,2020-10-01
2020-11-01,7.5,62.0,14.6,Vienna,2020-11-01
2020-12-01,1.1,72.0,15.2,Vienna,2020-12-01
2021-01-01,-2.6,65.0,12.6,Vienna,2021-01-01
2021-02-01,-3.8,49.0,13.0,Vienna,2021-02-01
2021-03-01,3.7,35.0,16.3,Vienna,2021-03-01
2021-04-01,9.5,64.0,14.1,Vienna,2021-04-01
2021-05-01,15.0,65.0,11.4,Vienna,2021-05-01
2021-06-01,22.5,163.0,11.6,Vienna,2021-06-01
2021-07-01,20.7,176.0,10.7,Vienna,2021-07-01
2021-08-01,22.6,204.0,9.1,Vienna,2021-08-01
2021-09-01,17.3,111.9,10.4,Vienna,2021-09-01
2021-10-01,13.3,233.2,11.2,Vienna,2021-10-01
2021-11-01,3.2,110.0,11.2,Vienna,2021-11-01
2021-12-01,1.1,118.5,13.6,Vienna,2021-12-01
2022-01-01,-8.2,62.1,12.5,Vienna,2022-01-01
2022-02-01,-3.7,113.6,14.1,Vienna,2022-02-01
2022-03-01,2.5,64.1,15.2,Vienna,2022-03-01
2022-04-01,7.3,157.1,15.3,Vienna,2022-04-01
2022-05-01,16.6,46.9,10.2,Vienna,2022-05-01
2022-06-01,18.4,166.0,11.7,Vienna,2022-06-01
2022-07-01,21.6,101.2,9.0,Vienna,2022-07-01
2022-08-01,21.7,92.2,8.0,Vienna,2022-08-01
2022-09-01,15.8,190.2,8.8,Vienna,2022-09-01
2022-10-01,9.7,45.5,9.0,Vienna,2022-10-01
2022-11-01,5.1,105.0,12.3,Vienna,2022-11-01
2019-12-01,3.4,12.0,6.2,Bucharest,2019-12-01
2020-01-01,0.3,3.0,5.6,Bucharest,2020-01-01
2020-02-01,4.5,47.0,8.0,Bucharest,2020-02-01
2020-04-01,11.5,19.0,7.5,Bucharest,2020-04-01
2020-05-01,16.8,102.0,6.7,Bucharest,2020-05-01
2020-06-01,20.6,201.0,5.2,Bucharest,2020-06-01
2020-07-01,23.2,77.0,5.1,Bucharest,2020-07-01
2020-08-01,23.7,16.0,6.3,Bucharest,2020-08-01
2020-09-01,21.3,52.0,6.0,Bucharest,2020-09-01
2020-10-01,14.5,61.0,5.7,Bucharest,2020-10-01
2020-11-01,5.4,18.0,4.9,Bucharest,2020-11-01
2020-12-01,4.1,74.0,6.9,Bucharest,2020-12-01
2021-01-01,1.9,93.0,6.5,Bucharest,2021-01-01
2021-02-01,3.5,13.5,7.1,Bucharest,2021-02-01
2021-04-01,10.2,45.9,6.2,Bucharest,2021-04-01
2021-05-01,17.2,57.9,5.6,Bucharest,2021-05-01
2021-06-01,20.5,129.4,4.7,Bucharest,2021-06-01
2021-07-01,25.1,28.3,5.0,Bucharest,2021-07-01
2021-08-01,24.5,21.0,4.9,Bucharest,2021-08-01
2021-09-01,17.9,10.8,5.0,Bucharest,2021-09-01
2021-10-01,10.6,66.3,5.1,Bucharest,2021-10-01
2021-11-01,7.9,27.7,5.1,Bucharest,2021-11-01
2021-12-01,2.5,83.0,5.9,Bucharest,2021-12-01
2022-01-01,2.1,9.6,7.1,Bucharest,2022-01-01
2022-02-01,5.3,11.9,6.3,Bucharest,2022-02-01
2022-04-01,11.9,55.3,5.6,Bucharest,2022-04-01
2022-06-01,22.5,31.6,2.9,Bucharest,2022-06-01
2022-07-01,25.7,61.5,3.3,Bucharest,2022-07-01
2022-08-01,26.0,50.2,3.4,Bucharest,2022-08-01
2022-09-01,18.5,13.4,3.7,Bucharest,2022-09-01
2022-10-01,14.1,3.9,3.1,Bucharest,2022-10-01
2022-11-01,9.1,30.0,4.3,Bucharest,2022-11-01
2019-12-01,0.8,137.0,16.6,Hamburg,2019-12-01
2020-01-01,0.6,69.0,17.3,Hamburg,2020-01-01
2020-02-01,-1.4,64.0,18.7,Hamburg,2020-02-01
2020-03-01,5.2,81.0,17.0,Hamburg,2020-03-01
2020-04-01,6.3,90.0,17.6,Hamburg,2020-04-01
2020-05-01,13.3,98.0,15.1,Hamburg,2020-05-01
2020-06-01,19.5,90.0,15.3,Hamburg,2020-06-01
2020-07-01,25.3,87.0,13.2,Hamburg,2020-07-01
2020-08-01,23.0,53.0,13.8,Hamburg,2020-08-01
2020-09-01,18.0,86.0,14.8,Hamburg,2020-09-01
2020-10-01,11.0,92.0,15.0,Hamburg,2020-10-01
2020-11-01,8.0,72.0,19.0,Hamburg,2020-11-01
2020-12-01,0.9,126.0,18.5,Hamburg,2020-12-01
2021-01-01,-1.4,47.0,14.3,Hamburg,2021-01-01
2021-02-01,-4.0,53.0,17.0,Hamburg,2021-02-01
2021-03-01,4.6,49.0,18.1,Hamburg,2021-03-01
2021-04-01,9.0,70.0,15.0,Hamburg,2021-04-01
2021-05-01,14.0,42.0,14.7,Hamburg,2021-05-01
2021-06-01,21.8,45.0,16.7,Hamburg,2021-06-01
2021-07-01,21.7,191.0,13.2,Hamburg,2021-07-01
2021-08-01,22.9,90.4,11.4,Hamburg,2021-08-01
2021-09-01,18.9,134.8,14.9,Hamburg,2021-09-01
2021-10-01,14.8,168.7,14.2,Hamburg,2021-10-01
2021-11-01,5.5,80.8,17.3,Hamburg,2021-11-01
2021-12-01,3.0,111.4,19.3,Hamburg,2021-12-01
2022-01-01,-5.5,72.6,17.9,Hamburg,2022-01-01
2022-02-01,-2.6,103.8,20.7,Hamburg,2022-02-01
2022-03-01,3.2,56.3,18.6,Hamburg,2022-03-01
2022-04-01,6.3,89.1,15.4,Hamburg,2022-04-01
2022-05-01,14.9,73.7,13.0,Hamburg,2022-05-01
2022-06-01,18.7,169.0,13.9,Hamburg,2022-06-01
2022-07-01,21.8,133.6,13.9,Hamburg,2022-07-01
2022-08-01,22.1,94.4,11.8,Hamburg,2022-08-01
2022-09-01,17.9,121.4,13.8,Hamburg,2022-09-01
2022-10-01,11.5,75.7,16.6,Hamburg,2022-10-01
2022-11-01,6.5,124.2,17.9,Hamburg,2022-11-01
2019-12-01,5.9,74.0,17.6,Brussels,2019-12-01
2020-01-01,5.9,69.0,16.5,Brussels,2020-01-01
2020-02-01,7.0,100.0,25.6,Brussels,2020-02-01
2020-04-01,12.6,17.0,10.6,Brussels,2020-04-01
2020-05-01,14.2,11.0,11.4,Brussels,2020-05-01
2020-06-01,17.5,84.0,12.1,Brussels,2020-06-01
2020-07-01,17.9,24.0,12.6,Brussels,2020-07-01
2020-08-01,20.9,53.0,11.0,Brussels,2020-08-01
2020-09-01,16.4,105.0,10.6,Brussels,2020-09-01
2020-10-01,11.4,75.0,15.9,Brussels,2020-10-01
2020-11-01,9.2,48.0,14.1,Brussels,2020-11-01
2020-12-01,5.7,77.0,15.0,Brussels,2020-12-01
2021-01-01,3.0,138.0,13.1,Brussels,2021-01-01
2021-02-01,5.3,143.0,15.7,Brussels,2021-02-01
2021-04-01,7.3,33.0,11.7,Brussels,2021-04-01
2021-05-01,11.7,85.0,13.6,Brussels,2021-05-01
2021-06-01,18.8,120.0,9.5,Brussels,2021-06-01
2021-07-01,18.0,186.0,10.6,Brussels,2021-07-01
2021-08-01,16.9,119.0,10.6,Brussels,2021-08-01
2021-09-01,16.6,26.0,9.4,Brussels,2021-09-01
2021-10-01,11.5,87.0,13.6,Brussels,2021-10-01
2021-11-01,6.4,34.1,9.7,Brussels,2021-11-01
2021-12-01,5.6,85.0,12.8,Brussels,2021-12-01
2022-01-01,4.3,63.7,11.3,Brussels,2022-01-01
2022-02-01,6.6,84.4,18.2,Brussels,2022-02-01
2022-04-01,10.1,31.0,13.5,Brussels,2022-04-01
2022-05-01,15.2,69.2,10.3,Brussels,2022-05-01
2022-06-01,17.8,90.6,10.0,Brussels,2022-06-01
2022-07-01,19.6,19.9,9.7,Brussels,2022-07-01
2022-08-01,21.4,17.9,10.0,Brussels,2022-08-01
2022-09-01,15.0,92.8,9.4,Brussels,2022-09-01
2022-10-01,14.4,43.6,12.4,Brussels,2022-10-01
2022-11-01,9.1,63.6,15.1,Brussels,2022-11-01
2021-02-01,-5.6,39.9,11.8,Warsaw,2021-02-01
2021-04-01,9.5,46.2,10.6,Warsaw,2021-04-01
2021-05-01,14.2,99.7,9.0,Warsaw,2021-05-01
2021-06-01,21.9,168.6,7.2,Warsaw,2021-06-01
2021-07-01,21.8,144.2,6.8,Warsaw,2021-07-01
2021-08-01,22.6,143.3,5.2,Warsaw,2021-08-01
2021-09-01,19.0,84.4,8.4,Warsaw,2021-09-01
2021-10-01,13.8,164.0,8.3,Warsaw,2021-10-01
2021-11-01,3.5,38.1,10.9,Warsaw,2021-11-01
2021-12-01,2.6,51.1,11.5,Warsaw,2021-12-01
2022-01-01,-5.6,25.1,12.3,Warsaw,2022-01-01
2022-02-01,-2.6,70.1,13.5,Warsaw,2022-02-01
2022-04-01,7.8,122.1,14.2,Warsaw,2022-04-01
2022-05-01,17.2,142.7,10.9,Warsaw,2022-05-01
2022-06-01,21.8,70.5,8.1,Warsaw,2022-06-01
2022-07-01,23.2,154.8,10.0,Warsaw,2022-07-01
2022-08-01,22.5,38.4,10.4,Warsaw,2022-08-01
2022-09-01,17.8,68.6,6.7,Warsaw,2022-09-01
2022-10-01,10.9,78.6,10.3,Warsaw,2022-10-01
2022-11-01,5.4,55.3,12.4,Warsaw,2022-11-01
2019-12-01,2.8,78.0,10.9,Budapest,2019-12-01
2020-01-01,-0.4,11.0,7.2,Budapest,2020-01-01
2020-02-01,5.4,25.0,14.3,Budapest,2020-02-01
2020-04-01,12.2,13.0,9.0,Budapest,2020-04-01
2020-05-01,14.2,14.0,10.9,Budapest,2020-05-01
2020-06-01,19.5,129.0,9.4,Budapest,2020-06-01
2020-07-01,21.3,56.0,7.6,Budapest,2020-07-01
2020-08-01,22.4,81.0,7.9,Budapest,2020-08-01
2020-09-01,17.6,18.0,7.7,Budapest,2020-09-01
2020-10-01,11.7,105.0,8.7,Budapest,2020-10-01
2020-11-01,5.8,25.0,5.3,Budapest,2020-11-01
2020-12-01,4.2,34.0,8.9,Budapest,2020-12-01
2021-01-01,2.2,15.0,10.4,Budapest,2021-01-01
2021-02-01,3.1,43.0,9.9,Budapest,2021-02-01
2021-04-01,9.7,38.0,11.4,Budapest,2021-04-01
2021-05-01,14.8,81.0,11.7,Budapest,2021-05-01
2021-06-01,23.1,17.0,8.8,Budapest,2021-06-01
2021-07-01,24.8,41.0,10.6,Budapest,2021-07-01
2021-08-01,21.3,73.0,9.5,Budapest,2021-08-01
2021-09-01,18.0,20.0,8.1,Budapest,2021-09-01
2021-10-01,10.8,20.0,7.4,Budapest,2021-10-01
2021-11-01,6.5,50.0,8.0,Budapest,2021-11-01
2022-06-01,22.7,51.1,10.1,Budapest,2022-06-01
2022-07-01,24.3,26.6,13.2,Budapest,2022-07-01
2022-08-01,24.2,32.0,9.5,Budapest,2022-08-01
2022-09-01,16.1,94.0,11.1,Budapest,2022-09-01
2022-10-01,13.1,19.9,8.1,Budapest,2022-10-01
2022-11-01,7.0,67.9,8.7,Budapest,2022-11-01
2019-12-01,-9.9,47.1,7.2,Novosibirsk,2019-12-01
2020-02-01,-7.7,36.1,7.5,Novosibirsk,2020-02-01
2020-07-01,19.1,50.2,5.7,Novosibirsk,2020-07-01
2020-10-01,3.7,60.3,7.7,Novosibirsk,2020-10-01
2021-01-01,-22.2,20.6,6.7,Novosibirsk,2021-01-01
2021-02-01,-15.5,33.7,8.0,Novosibirsk,2021-02-01
2021-03-01,-6.2,43.0,9.5,Novosibirsk,2021-03-01
2021-04-01,4.1,19.9,8.5,Novosibirsk,2021-04-01
2021-05-01,14.7,26.9,8.3,Novosibirsk,2021-05-01
2021-06-01,16.3,60.8,6.9,Novosibirsk,2021-06-01
2021-07-01,19.6,48.9,5.4,Novosibirsk,2021-07-01
2021-08-01,17.8,57.5,5.4,Novosibirsk,2021-08-01
2021-09-01,9.5,75.1,6.1,Novosibirsk,2021-09-01
2021-10-01,3.4,40.3,7.5,Novosibirsk,2021-10-01
2021-11-01,-6.5,72.0,9.0,Novosibirsk,2021-11-01
2021-12-01,-10.2,49.6,7.4,Novosibirsk,2021-12-01
2022-01-01,-13.9,15.2,5.6,Novosibirsk,2022-01-01
2022-02-01,-11.3,18.5,7.2,Novosibirsk,2022-02-01
2022-03-01,-7.9,19.8,10.1,Novosibirsk,2022-03-01
2022-04-01,6.3,16.6,7.3,Novosibirsk,2022-04-01
2022-05-01,16.4,17.0,9.1,Novosibirsk,2022-05-01
2022-06-01,17.4,65.2,8.9,Novosibirsk,2022-06-01
2022-07-01,18.5,56.2,6.1,Novosibirsk,2022-07-01
2022-08-01,16.1,42.8,5.6,Novosibirsk,2022-08-01
2022-09-01,10.7,31.4,5.7,Novosibirsk,2022-09-01
2022-10-01,4.1,42.5,6.6,Novosibirsk,2022-10-01
2022-11-01,-9.0,31.5,7.0,Novosibirsk,2022-11-01
2019-12-01,4.0,47.0,10.9,Munich,2019-12-01
